,Year,Index,SP14,Price,IdxGPRO,CPI,CPI80,CPI12,CPI14,Portfolio
26,1986,236.39047410082912,0.12239484215659681,,,50.2662548449057,0.47740086028702317,0.47740086028702317,0.4629978379588513,
27,1987,286.99802377572644,0.14859768758830053,,,52.1082935307754,0.4948955166132104,0.4948955166132104,0.4799646864265896,
28,1988,265.88015813412875,0.13766358441972237,,,54.2331348364675,0.5150760745330455,0.5150760745330455,0.49953640374622216,
29,1989,323.05142853752017,0.16726489827778646,,,56.8509698983363,0.5399388122580216,0.5399388122580216,0.5236490410914524,
30,1990,334.6320559535573,0.17326094811884582,,,59.919760489111,0.5690844741458405,0.5690844741458405,0.5519153882275399,
31,1991,376.1863238067024,0.19477631617318314,,,62.4573407534626,0.5931849965537,0.5931849965537,0.5752888060337188,
32,1992,415.7470079557164,0.21525947527865646,,,64.3490609806525,0.6111515004571502,0.6111515004571502,0.5927132665970606,
33,1993,451.6148210005327,0.23383059297204584,,,66.2484245218916,0.6291905962955633,0.6291905962955633,0.610208129021264,
34,1994,460.416508023701,0.2383878032319354,,,67.9758134970226,0.6455963735972999,0.6455963735972999,0.6261189495760733,
35,1995,541.7190869043744,0.28048347712436056,,,69.8828203523109,0.6637080613706761,0.6637080613706761,0.6436842138611382,
36,1996,670.4948427695928,0.3471591262708528,,,71.9312285175105,0.683162699940877,0.683162699940877,0.6625519125721511,
37,1997,873.4277876902946,0.4522308126677775,,,73.6127576083459,0.699132925632832,0.699132925632832,0.6780403219617877,
38,1998,1085.5032527863034,0.5620361809866433,,,74.7554330587091,0.7099854199098657,0.7099854199098657,0.6885654001606548,
39,1999,1327.329567076668,0.6872455138900325,,,76.391102265249,0.7255200939920403,0.7255200939920403,0.7036313983851197,
40,2000,1427.2210688515315,0.7389658915364894,,,78.9707207568716,0.7500198720421998,0.7500198720421998,0.7273920264260404,
41,2001,1194.1789944556451,0.6183047353709314,,,81.2025684592531,0.7712167170515217,0.7712167170515217,0.7479493697977396,
42,2002,993.934804038396,0.5146251934091822,,,82.4904668765521,0.7834484580928608,0.7834484580928608,0.7598120833529847,
43,2003,965.227539789109,0.49976156115029297,,,84.3630788186188,0.8012334821589017,0.8012334821589017,0.7770605392641708,
44,2004,1130.649444580078,0.5854113234901165,,,86.6216781201728,0.8226843989405968,0.8226843989405968,0.7978642891488881,
45,2005,1207.2294432624938,0.6250618080823541,,,89.5605323721102,0.8505959979340372,0.8505959979340372,0.8249338046503218,
46,2006,1310.4612356239106,0.6785116730977646,,,92.4497050827274,0.8780357493502148,0.8780357493502148,0.8515457080561522,
47,2007,1477.18434222096,0.7648351528971215,,,95.0869923788515,0.9030832335496723,0.9030832335496723,0.8758375181372756,
48,2008,1220.042055635113,0.6316957372832893,,,98.7374773853446,0.9377535046478841,0.9377535046478841,0.9094617988942654,
49,2009,948.046387929765,0.4908657527303819,,,98.3864199710624,0.934419357075013,0.934419357075013,0.9062282414248738,
50,2010,1139.9655124724857,0.5902348624400195,,,100.0,0.9497442404651437,0.9497442404651437,0.9210907782714478,
51,2011,1267.6388094463043,0.6563396963600935,,,103.156841568622,0.9797261614437407,0.9797261614437407,0.9501681548446648,
52,2012,1379.3541596679688,0.714182055316645,,,105.291504532867,1.0,1.0,0.9698303385555014,
53,2013,1643.7989681183346,0.8511024651281184,,,106.833848874866,1.0146483265562756,1.0146483265562756,0.9840367300588457,
54,2014,1931.3761097741503,1.0,61.798213900500585,1.0,108.566932118964,1.031108184849563,1.031108184849563,1.0,1.0
55,2015,2061.067741272941,1.0671498579911276,42.65325388832698,0.6902020494799684,108.695721960693,1.0323313589536882,1.0323313589536882,1.0011862713555162,0.8776348406634659
56,2016,2094.6512640090214,1.0845382488726982,12.174484120474922,0.19700381859056132,110.06700893427,1.0453550780054846,1.0453550780054846,1.0138170692127717,0.6320381192922586
57,2017,2449.076379054096,1.268047360977497,8.939681283031327,0.14465921777973767,112.411557302308,1.0676222910958448,1.0676222910958448,1.0354124880228832,0.6821950648165318
58,2018,2746.214183305839,1.4218950775087373,5.820637452174942,0.09418779419008085,115.157303224791,1.0936998548524337,1.0936998548524337,1.0607033005096385,0.7146592600260518
59,2019,2913.3563804020955,1.5084355479279359,5.1888095376983525,0.08396374604050363,117.244195476228,1.11351999381517,1.11351999381517,1.0799254725900862,0.7372727722354948
60,2020,3217.855848953187,1.6660948805716944,4.866047422876471,0.07874090715163945,118.690501577198,1.1272562027086286,1.1272562027086286,1.0932472647116982,0.7980060156763653
61,2021,4273.385634649368,2.2126118330981557,10.19343256193494,0.16494704164665785,124.266413825838,1.1802131081434775,1.1802131081434775,1.1446064782384293,1.0385922672759642
62,2022,4098.514747650025,2.1220697133554656,6.829601588002239,0.11051454656923211,,,,,
63,2023,3960.656530761719,2.050691478846586,5.604500031471252,0.09069032384163864,,,,,
